"DisplayName","Rule","Status"
"DG-Engineering","(user.department -eq ""Engineering"")","Failed"
"DG-HR","(user.department -eq ""HR"")","Failed"
"DG-Finance","(user.department -eq ""Finance"")","Failed"
"DG-Marketing","(user.department -eq ""Marketing"")","Failed"
"DG-Sales","(user.department -eq ""Sales"")","Failed"
"DG-Operations","(user.department -eq ""Operations"")","Failed"
"DG-Security","(user.department -eq ""Security"")","Failed"
"DG-CustomerSupport","(user.department -eq ""Customer Support"")","Failed"
"DG-Executive","(user.department -eq ""Executive"")","Failed"
