"DisplayName","Rule","Status"
"DG-Engineering","(user.department -eq ""Engineering"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-HR","(user.department -eq ""HR"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Finance","(user.department -eq ""Finance"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Marketing","(user.department -eq ""Marketing"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Sales","(user.department -eq ""Sales"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Operations","(user.department -eq ""Operations"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Security","(user.department -eq ""Security"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-CustomerSupport","(user.department -eq ""Customer Support"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
"DG-Executive","(user.department -eq ""Executive"")","Failed: [NoLicenseForOperation] : Tenant does not have proper license."
